Country,Type,Total Population (Thousands),Total Population,Male Population (Thousands),Male Population,Female Population (Thousands),Female Population,"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years)
North Macedonia,Southern Europe,2103,2103000,1049,1049000,1055,1055000,77.2,75.6,79.2
Northern Mariana Islands,Micronesia,49,49000,27,27000,23,23000,83.2,81.6,84.9
Norway,Northern Europe,5403,5403000,2726,2726000,2677,2677000,72.5,71,74.7
Oman,Western Asia,4520,4520000,2762,2762000,1759,1759000,66.1,63.8,68.6
Pakistan,Southern Asia,231402,231402000,116816,116816000,114586,114586000,66,62.4,70.6
Palau,Micronesia,18,18000,9,9000,9,9000,76.2,73.1,79.6
Panama,Central America,4351,4351000,2177,2177000,2175,2175000,65.4,62.9,68.4
Papua New Guinea,Australia/New Zealand,9949,9949000,5138,5138000,4812,4812000,70.3,67.4,73.4
Paraguay,South America,6704,6704000,3365,3365000,3339,3339000,72.4,70.1,74.7
Peru,South America,33715,33715000,16695,16695000,17020,17020000,69.3,67.2,71.5
Philippines,South-Eastern Asia,113880,113880000,57817,57817000,56063,56063000,76.5,72.6,80.4
Poland,Eastern Europe,38308,38308000,18524,18524000,19783,19783000,81,77.8,84.1
Portugal,Southern Europe,10290,10290000,4855,4855000,5435,5435000,80.2,75.9,84.5
Puerto Rico,Caribbean,3256,3256000,1538,1538000,1718,1718000,79.3,78.3,80.9
Qatar,Western Asia,2688,2688000,1954,1954000,735,735000,83.7,80.4,86.8
Republic of Korea,Eastern Asia,51830,51830000,25885,25885000,25945,25945000,68.8,64.4,73.5
Republic of Moldova,Eastern Europe,3062,3062000,1453,1453000,1608,1608000,81.6,78.4,84.8
Réunion,Eastern Africa,966,966000,466,466000,500,500000,74.2,70.6,77.9
Romania,Eastern Europe,19329,19329000,9345,9345000,9984,9984000,69.4,64.2,74.8
Russian Federation,Eastern Europe,145103,145103000,67393,67393000,77710,77710000,66.1,63.8,68.2
Rwanda,Eastern Africa,13462,13462000,6582,6582000,6880,6880000,80.4,77.3,83.6
Saint Barthélemy,Caribbean,11,11000,6,6000,5,5000,76.8,74.2,80.4
Saint Helena,Western Africa,5,5000,3,3000,3,3000,71.7,68.3,75.3
Saint Kitts and Nevis,Caribbean,48,48000,23,23000,25,25000,71.1,67.8,74.7
Saint Lucia,Caribbean,180,180000,89,89000,91,91000,80.4,77.3,83.6
Saint Martin (French part),Caribbean,32,32000,15,15000,17,17000,77.2,73.5,81.4
Saint Pierre and Miquelon,North America,6,6000,3,3000,3,3000,69.6,67.4,72.4
Saint Vincent and the Grenadines,Caribbean,104,104000,53,53000,51,51000,72.8,70.3,75.5
Samoa,Polynesia,219,219000,112,112000,107,107000,80.9,78.4,83.5
San Marino,Southern Europe,34,34000,16,16000,17,17000,67.6,65.2,70.4
Sao Tome and Principe,Middle Africa,223,223000,111,111000,112,112000,76.9,75.6,78.8
Saudi Arabia,Western Asia,35950,35950000,20766,20766000,15184,15184000,67.1,64.8,69.3
Senegal,Western Africa,16877,16877000,8297,8297000,8580,8580000,74.2,71.2,77.2
Serbia,Southern Europe,7297,7297000,3497,3497000,3800,3800000,71.3,67.7,75.7
Seychelles,Eastern Africa,106,106000,56,56000,50,50000,60.1,58.8,61.4
Sierra Leone,Western Africa,8421,8421000,4219,4219000,4202,4202000,82.8,80.6,84.9
Singapore,South-Eastern Asia,5941,5941000,3107,3107000,2834,2834000,74,71.5,76.7
Sint Maarten (Dutch part),Caribbean,44,44000,24,24000,20,20000,74.9,71.5,78.4
Slovakia,Eastern Europe,5448,5448000,2660,2660000,2788,2788000,80.7,77.6,83.8
Slovenia,Southern Europe,2119,2119000,1065,1065000,1054,1054000,70.3,68.9,72
Solomon Islands,Australia/New Zealand,708,708000,362,362000,346,346000,55.3,53.2,57.4
Somalia,Eastern Africa,17066,17066000,8556,8556000,8510,8510000,62.3,59.5,65
South Africa,Southern Africa,59392,59392000,28895,28895000,30498,30498000,55,53.4,56.5
South Sudan,Eastern Africa,10748,10748000,5321,5321000,5428,5428000,83,80.2,85.8
Spain,Southern Europe,47487,47487000,23272,23272000,24215,24215000,76.4,73.1,79.5
Sri Lanka,Southern Asia,21773,21773000,10490,10490000,11283,11283000,73.5,71.1,75.9
State of Palestine,Western Asia,5133,5133000,2560,2560000,2573,2573000,65.3,62.7,67.9
Sudan,Northern Africa,45657,45657000,22815,22815000,22842,22842000,70.3,67.2,73.6
Suriname,South America,613,613000,305,305000,308,308000,83,81.1,84.9
Sweden,Northern Europe,10467,10467000,5273,5273000,5195,5195000,84,82,85.9
Switzerland,Western Europe,8691,8691000,4314,4314000,4377,4377000,72.1,69.1,75.2
